source,target,assoc_examyear,relation
任世正,申晏,1393,son-in-law
元xx(邊龜壽之妻父),邊龜壽,1393,son-in-law
劉仁統,金孝源,1393,son-in-law
劉敞,柳思訥,1393,son-in-law
卓允順,卓諴,1393,son
卓允順之妻父,卓允順,1393,son-in-law
卓允順之父,卓允順,1393,son
南若生,李擔,1393,son-in-law
南輝珠,李炯,1393,son-in-law
卞季孫之妻父,卞季孫,1393,son-in-law
卞載,卞季孫,1393,son
卞載之妻父,卞載,1393,son-in-law
卞載之父,卞載,1393,son
吳仲卿,李學林,1393,son-in-law
吳尙明之妻父,吳尙明,1393,son-in-law
吳臣冏,吳尙明,1393,son
吳臣冏之妻父,吳臣冏,1393,son-in-law
吳臣冏之父,吳臣冏,1393,son
安翊邦,柳務,1393,son-in-law
宋之毅,宋瑚,1393,son
宋之毅之妻父,宋之毅,1393,son-in-law
宋介臣之妻父,宋介臣,1393,son-in-law
宋守,宋之毅,1393,son
宋文中,宋介臣,1393,son
宋文中之妻父,宋文中,1393,son-in-law
宋文中之父,宋文中,1393,son
宋瑚之妻父,宋瑚,1393,son-in-law
尹定之妻父,尹定,1393,son-in-law
尹得龍,尹定,1393,son
尹禧,尹得龍,1393,son
尹頎,尹禧,1393,son
崔丙禮,黃鉉,1393,son-in-law
崔咸一,崔弘載,1393,son
崔墠,崔咸一,1393,son
崔弘載,崔汭,1393,son
崔弘載之妻父,崔弘載,1393,son-in-law
崔汭之妻父,崔汭,1393,son-in-law
崔洪儀,徐遠,1393,son-in-law
崔湖,徐選,1393,son-in-law
廉大有,閔麟生,1393,son-in-law
張之順,韓哲冲,1393,son-in-law
徐恬,徐璡,1393,son
徐璡,徐遠,1393,son
徐遠,徐選,1393,son
文可容之妻父,文可容,1393,son-in-law
文益夏,文可容,1393,son
文益夏之妻父,文益夏,1393,son-in-law
文益夏之父,文益夏,1393,son
朴乙陽,朴澡,1393,son
朴乙陽之妻父,朴乙陽,1393,son-in-law
朴乙陽之父,朴乙陽,1393,son
朴德生,邊處厚,1393,son-in-law
朴澡之妻父,朴澡,1393,son-in-law
李世光,李思伋,1393,son
李仁淑,李世光,1393,son
李仲明之妻父,李仲明,1393,son-in-law
李仲明之父,李仲明,1393,son
李仲明之父之妻父,李仲明之父,1393,son-in-law
李仲明之父之父,李仲明之父,1393,son
李允紘,李灌,1393,son
李允紘之妻父,李允紘,1393,son-in-law
李學林,李擔,1393,son
李庸,李允紘,1393,son
李思伋,李椒,1393,son
李思伋之妻父,李思伋,1393,son-in-law
李思正,李炯,1393,son
李椒之妻父,李椒,1393,son-in-law
李灌之妻父,李灌,1393,son-in-law
李炯,李叔蕃,1393,son
李簡,金孝孫,1393,son-in-law
李達尊,李學林,1393,son
李齊賢,李達尊,1393,son
柳之淀,閔中理,1393,son-in-law
柳乙淸,柳洽,1393,son
柳仁景,柳成,1393,son
柳儀之妻父,柳儀,1393,son-in-law
柳務,柳儀,1393,son
柳安澤,柳臨,1393,son
柳成,柳乙淸,1393,son
柳淸臣,柳澤,1393,son
柳湜,柳安澤,1393,son
柳澤,柳務,1393,son
柳臨,柳思訥,1393,son
權肅,柳臨,1393,son-in-law
洪潛,洪汝剛,1393,son
洪鐸,洪開道,1393,son
洪開道,洪潛,1393,son
申仲明,申諿,1393,son
申晏,申槪,1393,son
申諿,申晏,1393,son
羅仲呂,羅得卿,1393,son
羅仲呂之妻父,羅仲呂,1393,son-in-law
羅仲呂之父,羅仲呂,1393,son
羅得卿之妻父,羅得卿,1393,son-in-law
蔡允敬,申槪,1393,son-in-law
蘇好仁之妻父,蘇好仁,1393,son-in-law
蘇義,蘇好仁,1393,son
蘇義之妻父,蘇義,1393,son-in-law
蘇義之父,蘇義,1393,son
裵尙度,裵屯,1393,son
裵尙度之妻父,裵尙度,1393,son-in-law
裵屯之妻父,裵屯,1393,son-in-law
裵榮,裵詮,1393,son
裵詮,裵尙度,1393,son
邊永仁,邊龜壽,1393,son
邊用至,邊永仁,1393,son
邊龜壽,邊處厚,1393,son
郭郛,金覲,1393,son-in-law
鄭云敬,黃有定,1393,son-in-law
鄭摠,李叔蕃,1393,son-in-law
鄭至信,柳洽,1393,son-in-law
鄭良生,金存誠,1393,son-in-law
金到門,金覲,1393,son
金存誠,金孝孫,1393,son
金居道,洪汝剛,1393,son-in-law
金居道,韓兼,1393,son-in-law
金承晋,金積善,1393,son
金普,金到門,1393,son
金深,金承晋,1393,son
金湜之妻父,金湜,1393,son-in-law
金燉,卓諴,1393,son-in-law
金燕日,金存誠,1393,son
金積善,金自麟,1393,son
金積善之妻父,金積善,1393,son-in-law
金自麟之妻父,金自麟,1393,son-in-law
金覲,金孝源,1393,son
金輝仲,金湜,1393,son
金輝仲之妻父,金輝仲,1393,son-in-law
金輝仲之父,金輝仲,1393,son
閔中理,閔麟生,1393,son
閔天裕,閔顔,1393,son
閔天裕之妻父,閔天裕,1393,son-in-law
閔天裕之父,閔天裕,1393,son
閔子明,尹得龍,1393,son-in-law
閔愉,洪潛,1393,son-in-law
閔瑾,閔中理,1393,son
閔祥伯,閔瑾,1393,son
閔謹,柳乙淸,1393,son-in-law
閔顔之妻父,閔顔,1393,son-in-law
韓哲冲,韓兼,1393,son
韓希迪,韓哲冲,1393,son
韓庇,韓璉,1393,son
韓庇之妻父,韓庇,1393,son-in-law
韓庇之父,韓庇,1393,son
韓璉,韓希迪,1393,son
韓璉之妻父,韓璉,1393,son-in-law
黃原老,黃瑾,1393,son
黃有定,黃鉉,1393,son
黃瑾,黃有定,1393,son
任獻,郭德淵,1396,son-in-law
南元翰,韓彛,1396,son-in-law
吳仲和,柳儀,1396,son-in-law
尹xx(徐沖之妻父),徐沖,1396,son-in-law
尹善,尹祥,1396,son
尹善之妻父,尹善,1396,son-in-law
尹宣佐,尹粲,1396,son
尹得仁,尹發,1396,son
尹得仁之妻父,尹得仁,1396,son-in-law
尹忠,尹臣端,1396,son
尹發之妻父,尹發,1396,son-in-law
尹粲,尹得仁,1396,son
尹臣端,尹善,1396,son
崔仲淸,崔洵,1396,son
崔仲淸之妻父,崔仲淸,1396,son-in-law
